county,party,area,restoredgov,election1900,population,percentblack,percentfarmland,manufacturingcapital,percentilliteratewhites,Convention,urbancenter,sqmi,populationdensity,urbanicity,capitalfarmland
Accomack,Democrat,East,yes,Democrat,32570,36.3,62.3891875,266682,24.06749556,for,no,478,68.13807531,2.8,4274.490672
Albemarle,Democrat,Central,no,Democrat,28473,36.3,82.08278125,278774,11.35382956,for,yes,755,37.71258278,2.8,3396.254315
Alexandria,Democrat,East,yes,Republican,6430,38.3,56.45020313,1385767,3.669008587,against,yes,32,200.9375,13.86,24548.48563
Alleghany,Democrat,West,no,Republican,16330,30.1,38.13882813,3665465,10.06610577,against,no,452,36.12831858,36.66,96108.48524
Amelia,Democrat,Central,no,Republican,9037,66.2,85.02773438,144715,8.959537572,against,yes,455,19.86153846,1.46,1701.97408
Amherst,Democrat,Central,no,Democrat,17864,39.5,81.386375,115060,10.50380228,for,no,464,38.5,1.16,1413.750152
Appomattox,Democrat,Central,no,Democrat,9662,40.6,88.60196875,59035,16.48241206,for,no,342,28.25146199,0.61,666.2944496
Augusta,Democrat,West,no,Democrat,32370,17.6,63.45385938,801078,8.48079069,for,no,1012,31.98616601,8.02,12624.57489
Bath,Democrat,West,no,Republican,5595,17.9,52.0651875,29440,11.66518255,against,no,548,10.20985401,0.31,565.445001
Bedford,Democrat,Central,no,Democrat,30356,32.1,92.69526563,616148,12.05741627,for,yes,729,41.64060357,6.19,6647.027719
Bland,Democrat,West,no,Democrat,5497,3.85,66.36142188,27325,14.39588689,against,no,352,15.61647727,0.29,411.7603154
Botetourt,Republican,West,no,Democrat,17161,22.5,5.432828125,412539,11.18513324,against,no,548,31.31569343,4.13,75934.48394
Bristol City,,,,,,,,,,,,,,,
Brunswick,Democrat,Central,no,Republican,18217,59.5,94.53921875,196152,29.49438202,for,no,539,33.79777365,1.99,2074.821461
Buchanan,Democrat,West,no,Republican,9692,0.005,63.80779688,96350,35.51354113,against,no,492,19.69918699,0.97,1510.003553
Buckingham,Democrat,Central,no,Republican,15266,51.4,73.2271875,536359,27.57234727,for,no,552,27.6557971,5.41,7324.588289
Buena Vista City,,,,,,,,,,,,,,,
Campbell,Democrat,Central,no,Democrat,23256,41.3,76.47084375,278907,16.03427173,for,yes,554,41.97833935,2.82,3647.233198
