"","County.Name","locality.type","population","population.density","urban.center","negro.population","percent.negro","voting.population","percent.illiterate.whites","manufacturing.capital","percent.farmland","capital.farmland","Land.surface.area","election.1900","delegates","party","convention.for","convention.against","Convention","area","Convention.outcome"
"1","Accomack","county",32570,68.1380753138075,"no",11825,36.3064169481118,7945,19.9889360132768,266682000,62.3891867154812,4274490.72571138,478,"Democrat","N. B. Wescott","Democrat",892,556,336,"East","for"
"2","Albemarle","county",28473,37.712582781457,"no",10337,36.3045692410354,6464,9.72061879473563,278774000,82.0827814569536,3396254.30634556,755,"Democrat","James H. Lindsay , W. H. Boaz.","Democrat",1659,800,859,"Central","for"
"3","Alexandria","county",6430,200.9375,"no",2467,38.3670295489891,2086,3.85878489326765,1385767000,56.4501953125,24548489.0234409,32,"Republican","F. L. Smith","Democrat",79,432,-353,"East","against"
"4","Alexandria City","city",14528,NA,"yes",4533,31.2018171806167,3950,2.12191358024691,1779334000,NA,NA,NA,"Democrat","F. L. Smith","Democrat",686,615,71,"East","for"
"5","Alleghany","county",16330,36.1283185840708,"yes",4013,24.5744029393754,5025,9.62920379419374,3665465000,38.1388274336283,96108486.9842651,452,"Republican","George K. Anderson","Democrat",118,127,-9,"West","against"
"6","Amelia","county",9037,25.456338028169,"no",5985,66.2277304415182,2009,4.08970976253298,144715000,85.0277288732394,1701974.19027554,355,"Republican","W. A. Watson.","Democrat",415,562,-147,"Central","against"
"7","Amherst","county",17864,38.5,"no",7057,39.5040304523063,4038,8.56589147286822,115060000,81.3863820043103,1413750.02999772,464,"Democrat","C. J. Campbell","Democrat",901,561,340,"Central","for"
"8","Appomattox","county",9662,28.2514619883041,"no",3931,40.685158352308,2048,12.5960061443932,59035000,88.6019736842105,666294.412474476,342,"Democrat","H. D. Flood.","Democrat",502,67,435,"Central","for"
"9","Augusta","county",32370,31.9861660079051,"no",5700,17.6088971269694,7913,8.09987819732034,801078000,63.4538661067194,12624573.5547888,1012,"Democrat","A. C. Braxton, J. M. Quarles.","Democrat",1029,618,411,"West","for"
"10","Bath","county",5595,10.2098540145985,"no",1006,17.9803395889187,1481,11.3715277777778,29440000,52.0651802007299,565445.080310838,548,"Republican","George K. Anderson","Democrat",153,181,-28,"West","against"
"11","Bedford","county",30356,41.6406035665295,"no",9739,32.0826195809725,6809,10.3960396039604,616148000,92.6952589163237,6647028.19975074,729,"Democrat","John Goode, John Thompson Brown","Democrat",1516,1013,503,"Central","for"
"12","Bland","county",5497,15.6164772727273,"no",212,3.85664908131708,1231,14.2131979695431,27325000,66.3614169034091,411760.346223052,352,"Democrat","A. L. Lincoln (Rep).","Republican",254,294,-40,"West","against"
"13","Botetourt","county",17161,31.3156934306569,"no",3877,22.5919235475788,4010,10.3236245954693,412539000,54.3390739051095,7591940.20715927,548,"Democrat","James Mundy (Rep).","Republican",667,958,-291,"West","against"
"14","Bristol City","city",4579,NA,"yes",1027,22.4284778335881,1279,12.5,860211000,NA,NA,NA,"Democrat","John C. Summers (Ind), P. W. Campbell","Independent",512,286,226,"West","for"
"15","Brunswick","county",18217,34.4366729678639,"no",10842,59.5158368556842,4010,16.9445938676708,196152000,94.539224952741,2074821.32520183,529,"Republican","Robert Turnbull","Democrat",935,842,93,"Central","for"
"16","Buchanan","county",9692,19.6991869918699,"no",5,0.0515889393314073,1958,35.568065506653,96350000,63.807799796748,1510003.4840084,492,"Republican","Rufus A. Ayers.","Democrat",12,157,-145,"West","against"
"17","Buckingham","county",15266,27.6557971014493,"no",7851,51.4280099567667,3326,19.8036951501155,536359000,73.2271852355072,7324588.51552202,552,"Democrat","E. W. Hubard.","Democrat",395,328,67,"Central","for"
"18","Buena Vista City","city",2388,NA,"no",410,17.1691792294807,600,8.77551020408163,921135000,NA,NA,NA,"Democrat","J. W. Gilmore, William A. Anderson","Democrat",139,120,19,"West","for"
"19","Campbell","county",23256,41.9783393501805,"no",9615,41.344169246646,4988,12.8013029315961,278907000,76.4708370938628,3647233.51540745,554,"Democrat","John W. Daniel","Democrat",880,853,27,"Central","for"
"20","Caroline","county",16709,29.7313167259786,"no",9042,54.1145490454246,3474,16.5570175438596,199570000,83.8175600533808,2381004.64715151,562,"Republican","William L. Cobb","Democrat",621,657,-36,"East","against"
"21","Carroll","county",19303,43.3775280898876,"no",339,1.75620369890691,3971,23.1538461538462,129013000,94.2061095505618,1369475.93543025,445,"Republican","D. W. Bowlen","Democrat",313,1309,-996,"West","against"
"22","Charles City","county",5040,27.5409836065574,"no",3696,73.3333333333333,1188,11.9700748129676,40097000,83.4409153005465,480543.626056525,183,NA,"M. H. Barnes.","Democrat",74,326,-252,"East","against"
"23","Charlotte","county",15343,32.0313152400835,"no",8545,55.6931499706707,3254,10.0061012812691,252335000,83.4554410229645,3023589.55757678,479,"Democrat","D. Q. Eggleston","Democrat",612,136,476,"Central","for"
"24","Charlottesville City","city",6449,NA,"yes",2613,40.5179097534501,1514,2.11480362537764,827234000,NA,NA,NA,"Democrat","James H. Lindsay , W. H. Boaz.","Democrat",625,133,492,"Central","for"
"25","Chesterfield","county",18804,38.8512396694215,"no",7699,40.9434162944054,4613,11.9670905011219,633162000,62.7869963842975,10084285.5441696,484,"Democrat","B. A. Hancock, John Henry Ingram","Democrat",854,575,279,"Central","for"
"26","Clarke","county",7927,41.9417989417989,"no",2231,28.1443168916362,1904,6.60576247364722,87175000,85.9879298941799,1013805.07830902,189,"Democrat","D. C. O'Flaherty.","Democrat",381,313,68,"Central","for"
"27","Craig","county",4293,12.2307692307692,"no",261,6.07966457023061,991,8.60566448801743,33807000,38.6039886039886,875738.52398524,351,"Democrat","J. W. Marshall, W. G. Robertson","Democrat",194,141,53,"West","for"
"28","Culpeper","county",14123,35.3959899749373,"no",6053,42.8591658995964,3219,8.84652981427175,169997000,85.1848370927318,1995625.11125005,399,"Democrat","John S. Barbour","Democrat",1035,466,569,"Central","for"
"29","Cumberland","county",8996,30.2895622895623,"no",6205,68.9751000444642,1915,5.39007092198582,32780000,87.4757996632997,374732.21309405,297,"Democrat","E. W. Hubard.","Democrat",212,138,74,"Central","for"
"30","Danville City","city",16520,NA,"yes",6515,39.4370460048426,3904,7.47288067496987,5832258000,NA,NA,NA,"Democrat","Berryman Green, Geo. W. Jones, Charles E. Miller, Eugene Withers.","Democrat",1266,140,1126,"Central","for"
"31","Dickenson","county",7747,23.9104938271605,"no",0,0,1521,25.0329380764163,40180000,73.5050154320988,546629.366224905,324,"Democrat","Rufus A. Ayers.","Democrat",NA,NA,NA,"West",NA
"32","Dinwiddie","county",15374,29.5086372360845,"no",9500,61.7926369194744,3924,10.6229508196721,330725000,85.0983685220729,3886384.73032789,521,"Democrat","Branch J. Epes.","Democrat",478,357,121,"Central","for"
"33","Elizabeth City","county",19460,389.2,"yes",8582,44.1007194244604,7858,4.13396127681842,249785000,47.10625,5302587.23630092,50,"Democrat","J. M. Willis","Democrat",463,571,-108,"East","against"
"34","Essex","county",9701,35.0216606498195,"no",6125,63.137820843212,2164,16.1512027491409,57615000,81.810130866426,704252.632159577,277,"Democrat","J. A. Bristow (Rep).","Republican",333,358,-25,"East","against"
"35","Fairfax","county",18580,42.9099307159353,"no",5003,26.9268030139935,4866,6.69313669880885,241657000,67.9839058891455,3554620.71264404,433,"Democrat","R. W. Moore","Democrat",466,627,-161,"East","against"
"36","Fauquier","county",23374,34.5769230769231,"no",8298,35.5009839993155,5371,8.47317744154058,193871000,90.0982340976331,2151773.58293078,676,"Democrat","Albert Fletcher","Democrat",1102,471,631,"Central","for"
"37","Floyd","county",15388,40.177545691906,"no",1075,6.98596308812061,3114,16.8269230769231,100802000,95.6201044386423,1054192.53191344,383,"Republican","Nathan Phillips (Rep).","Republican",286,1029,-743,"West","against"
"38","Fluvanna","county",9050,31.3148788927336,"no",4011,44.3204419889503,2073,8.274231678487,37464000,81.6673875432526,458738.807827768,289,"Democrat","W. B. Pettit","Democrat",401,443,-42,"Central","against"
"39","Franklin","county",25953,37.6130434782609,"no",5947,22.914499287173,5098,23.6880466472303,158703000,89.6451539855072,1770346.67178615,690,"Democrat","Nathan Phillips (Rep).","Republican",863,491,372,"Central","for"
